tag,category,description,payload,required,multiple,allowed_parents,allowed_children,notes,context,level0_possible
ANCI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
ANUL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['FAM'],True
ASSO,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
AUTH,Source,Author of the source.,text,False,False,['SOUR'],[],[],['SOUR'],False
BAPL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
BAPM,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
BARM,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BASM,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BIRT,Event,Birth event.,event,True,False,['INDI'],"['DATE', 'PLAC']",[],['INDI'],False
BLES,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
BLOB,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['OBJE'],True
BURI,Event,Burial event.,event,False,False,['INDI'],"['DATE', 'PLAC']",[],['INDI'],False
CALN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOUR.REPO'],True
CAST,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
CAUS,Event,Cause of death or event.,text,False,False,['DEAT'],[],[],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL']",False
CENS,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI']",True
CHAN,Metadata,Record change tracking.,metadata,False,False,['INDI'],['DATE'],[],"['FAM', 'INDI']",False
CHAR,Header,Character set used in the GEDCOM file.,text,True,False,['HEAD'],[],[],['HEAD'],False
CHIL,Family,Pointer to a child's individual record.,identifier,False,True,['FAM'],[],[],['FAM'],False
CHR,Event,Christening event.,event,False,False,['INDI'],"['DATE', 'PLAC']",[],[],False
CHRA,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
CITY,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
CONC,Text Formatting,Concatenation for long text.,text,False,False,[],[],[],['NOTE'],True
CONF,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
CONL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
CONT,Text Formatting,Continuation of text on a new line.,text,False,False,[],[],[],['NOTE'],True
COPR,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD'],True
CORP,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD.SOUR'],True
CREM,Event,Cremation event.,event,False,False,['INDI'],"['DATE', 'PLAC']",[],['INDI'],False
CTRY,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
DATA,,,,,,['SOUR'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR', 'SOUR', 'SOURCIT']",False
DATE,Event,"Date value. Expected format: 'DD MMM YYYY' (e.g., '22 DEC 2013').",text,True,False,"['BIRT', 'BURI', 'CHAN', 'CHR', 'CREM', 'DEAT', 'DIV', 'HEAD', 'MARR']",[],[],"['CHAN', 'FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'HEAD', 'HEAD.SOUR.DATA', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'SOUR.DATA.EVEN', 'SOURCIT.DATA']",False
DEAT,Event,Death event.,event,False,False,['INDI'],"['DATE', 'PLAC', 'CAUS']",[],['INDI'],False
DESC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SUBN'],True
DESI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
DEST,,,,,,['HEAD'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD'],False
DIV,Event,Divorce event.,event,False,False,['FAM'],"['DATE', 'PLAC']",[],['FAM'],False
DIVF,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
DSCR,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
EDUC,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
EMAIL,,,,,,"['REPO', 'SUBM']",[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR.CORP', 'REPO', 'SUBM']",False
EMIG,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
ENDL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
ENGA,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
EVEN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI', 'SOUR.DATA', 'SOURCIT']",True
FAM,Family,Family unit record.,record,True,True,[],"['HUSB', 'WIFE', 'CHIL', 'MARR', 'DIV']",[],[],True
FAMC,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
FAMS,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
FAX,,,,,,['REPO'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR.CORP', 'REPO', 'SUBM']",False
FCID,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
FCOM,Custom,Family comment or additional family-level communication.,text,False,True,[],[],[],['INDI'],True
FILE,,,,,,['HEAD'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD', 'OBJE']",False
FONE,Individual,Phonetic name.,text,False,False,['NAME'],[],[],[],False
FORM,,,,,,['GEDC'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.GEDC', 'HEAD.PLAC', 'OBJE', 'OBJE.FILE']",False
GEDC,Header,GEDCOM standard version.,metadata,True,False,['HEAD'],"['VERS', 'FORM']",[],['HEAD'],False
GIVN,Individual,Given name (first and middle names).,text,True,False,['NAME'],[],[],['NAME'],False
GRAD,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
HEAD,Header,Metadata about the GEDCOM file.,record,True,False,[],"['GEDC', 'CHAR', 'DATE', 'DEST', 'SUBM', 'FILE', 'LANG']",[],[],True
HUSB,Family,Pointer to the husband's individual record.,identifier,False,False,['FAM'],[],[],['FAM'],False
IDNO,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
IMMI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
INDI,Individual,Individual person record.,record,True,True,[],"['NAME', 'SEX', 'BIRT', 'CHR', 'DEAT', 'BURI', 'CREM', 'ADOP', 'BAPM', 'CONF', 'NATI', 'CAST', 'RELI', 'OCCU', 'EDUC', 'RESI', 'NCHI', 'NMR', 'ALIA', 'FAMC', 'FAMS', 'IDNO', 'CHAN', 'NOTE', 'SOUR', 'OBJE']",[],[],True
LANG,Metadata,Language of text.,text,False,False,['HEAD'],[],[],"['HEAD', 'SUBM']",False
LATI,Location,"Latitude coordinate. Expected format: e.g., 'N42.5584'.",text,False,False,['MAP'],[],[],[],False
LONG,Location,"Longitude coordinate. Expected format: e.g., 'W70.88'.",text,False,False,['MAP'],[],[],[],False
MAP,Location,Geographic mapping.,metadata,False,False,['PLAC'],"['LATI', 'LONG']",[],[],False
MARB,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
MARC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
MARL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
MARR,Event,Marriage event.,event,False,False,['FAM'],"['DATE', 'PLAC', 'TYPE']",[],['FAM'],False
MARS,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
MEDI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOUR.REPO.CALN'],True
NAME,Individual,Full name of the individual.,text,True,True,"['INDI', 'REPO', 'SUBM']","['NPFX', 'GIVN', 'SPFX', 'SURN', 'NSFX', 'NICK', 'ROMN', 'FONE']",[],"['HEAD.SOUR', 'INDI', 'REPO', 'SUBM']",False
NATI,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
NCHI,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI']",False
NICK,Individual,Nickname.,text,False,False,['NAME'],[],[],['NAME'],False
NMR,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
NOTE,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['ASSO', 'CHAN', 'FAM', 'FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'HEAD', 'INDI', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FAMC', 'INDI.FAMS', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'NAME', 'OBJE', 'REPO', 'SOUR', 'SOUR.DATA', 'SOUR.REPO', 'SOURCIT', 'SUBM', 'SUBN']",False
NPFX,Individual,"Name prefix (e.g., Dr., Mr., Rev.).",text,False,False,['NAME'],[],[],['NAME'],False
NSFX,Individual,"Name suffix (e.g., Jr., Sr., III).",text,False,False,['NAME'],[],[],['NAME'],False
OBJE,Multimedia,Multimedia object record.,record,False,True,['INDI'],[],[],"['FAM', 'FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'SOUR', 'SOURCIT']",False
OCCU,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
ORDN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
PAGE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOURCIT'],True
PEDI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI.FAMC'],True
PHON,,,,,,"['REPO', 'SUBM']",[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR.CORP', 'REPO', 'SUBM']",False
PLAC,Location,Place of event.,text,False,False,"['BIRT', 'BURI', 'CHR', 'CREM', 'DEAT', 'DIV', 'MARR']",['MAP'],[],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'HEAD', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'SOUR.DATA.EVEN']",False
POST,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
PROB,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
PROP,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
PUBL,Source,Publication information.,text,False,False,['SOUR'],[],[],['SOUR'],False
QUAY,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SOURCIT'],True
REFN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI', 'NOTE', 'OBJE', 'REPO', 'SOUR']",True
RELA,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ASSO'],True
RELI,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],False
REPO,Source,Repository storing sources.,record,False,False,[],"['NAME', 'ADDR', 'PHON', 'EMAIL', 'FAX', 'WWW']",[],['SOUR'],True
RESI,,,,,,['INDI'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM', 'INDI']",False
RESN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
RETI,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
RFN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SUBM'],True
RIN,Metadata,Record Identification Number.,identifier,False,False,[],[],[],"['FAM', 'INDI', 'NOTE', 'OBJE', 'REPO', 'SOUR', 'SUBM', 'SUBN']",True
ROLE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['ASSO', 'SOURCIT.EVEN']",True
ROMN,Individual,Romanized name.,text,False,False,['NAME'],[],[],[],False
SEX,Individual,Gender of the individual (M/F/X).,text,True,False,['INDI'],[],[],['INDI'],False
SLGC,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],[],True
SLGS,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['FAM'],True
SOUR,Source,Source citation.,record,False,True,['INDI'],"['TITL', 'AUTH', 'PUBL', 'TEXT', 'DATA']",[],"['ASSO', 'FAM', 'FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'HEAD', 'INDI', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL', 'NAME', 'NOTE']",False
SPFX,Individual,"Surname prefix (e.g., 'van', 'de', 'von').",text,False,False,['NAME'],[],[],['NAME'],False
SSN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
STAE,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['ADDR'],True
STAT,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI.FAMC'],True
SUBM,Submission,Submitter information.,record,True,False,['HEAD'],"['NAME', 'ADDR', 'PHON', 'EMAIL', 'WWW']",[],"['HEAD', 'SUBN']",False
SUBN,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['HEAD'],True
SURN,Individual,Surname (last name).,text,True,False,['NAME'],[],[],['NAME'],False
TEMP,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['SUBN'],True
TEXT,Source,Source text description.,text,False,False,['SOUR'],[],[],"['SOUR', 'SOUR.DATA', 'SOURCIT.DATA']",False
TIME,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['CHAN.DATE', 'HEAD.DATE', 'HEAD.SOUR.DATA.DATE', 'SOURCIT.DATA.DATE']",True
TITL,,,,,,['SOUR'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['INDI', 'OBJE', 'OBJE.FILE', 'SOUR']",False
TRLR,Header,Marks the end of a GEDCOM file.,record,True,False,[],[],[],[],True
TYPE,,,,,,['MARR'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['FAM.ANUL', 'FAM.CENS', 'FAM.DIV', 'FAM.EVEN', 'FAM.MARR', 'FAM.RESI', 'FAM.SLGS', 'INDI.ADOP', 'INDI.BAPL', 'INDI.BAPM', 'INDI.BARM', 'INDI.BASM', 'INDI.BIRT', 'INDI.BLES', 'INDI.BURI', 'INDI.CENS', 'INDI.CHRA', 'INDI.CONF', 'INDI.CONL', 'INDI.CREM', 'INDI.DEAT', 'INDI.EMIG', 'INDI.ENDL', 'INDI.EVEN', 'INDI.FCOM', 'INDI.GRAD', 'INDI.IMMI', 'INDI.NATU', 'INDI.ORDN', 'INDI.PROB', 'INDI.RESI', 'INDI.RETI', 'INDI.SLGC', 'INDI.SLGS', 'INDI.WILL']",False
VERS,,,,,,['GEDC'],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.GEDC', 'HEAD.SOUR']",False
WIFE,Family,Pointer to the wife's individual record.,identifier,False,False,['FAM'],[],[],['FAM'],False
WILL,,,,,,[],[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],['INDI'],True
WWW,,,,,,"['REPO', 'SUBM']",[],['TODO: populate from GEDCOM 5.5.5 Appendix A and structure grammar; legacy dataset did not define this tag.'],"['HEAD.SOUR.CORP', 'REPO', 'SUBM']",False
